company_name,company_number,company_status,company_type,date_of_cessation,date_of_creation,sic_codes,company_subtype,address_line_1,locality,postal_code,address_line_2,region,country,SICCODE_0,SICCODE_1,SICCODE_2,SICCODE_3,Value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THE MANAGEMENT ORGANISATION LTD,7807174,dissolved,ltd,06-10-2015,12-10-2011,['85590'],,Suite 2 Clarence House,Norwich,NR1 1HH,Clarence Road,,,85590,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRIGHT LEARNING ACADEMY LIMITED,7809163,dissolved,ltd,08-12-2015,13-10-2011,['85590'],,364 High Street,Smethwick,B66 3PD,,,United Kingdom,85590,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FUTURE TRAINING 4 JOBS LIMITED,7810131,dissolved,ltd,07-03-2017,14-10-2011,['85590'],,39 Gloucester Road,London,E12 5JU,,,England,85590,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S.E.H. CONSULTANCY LIMITED,7810896,dissolved,ltd,10-03-2020,14-10-2011,['85590'],,42 Queens Road,Coventry,CV1 3DX,,,,85590,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WIMBORNE SCHOOLS LTD,7810436,dissolved,ltd,17-02-2015,14-10-2011,['85590'],,150 Old Fort Road,Shoreham-By-Sea,BN43 5HL,,West Sussex,,85590,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIRECT MARKETING FOUNDATION,7814243,dissolved,private-limited-guarant-nsc-limited-exemption,19-11-2019,18-10-2011,['85590'],,70 Margaret Street,London,W1W 8SS,,,,85590,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXPRESS TRAINING SOLUTIONS LTD,7813839,dissolved,ltd,03-02-2015,18-10-2011,['85590'],,45 Lea Close,Reading,RG30 3NB,,Berkshire,,85590,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASPIRE HIGHER ACADEMY LIMITED,7818392,dissolved,private-limited-guarant-nsc,22-03-2022,20-10-2011,['85590'],,Grid Low Moor Business Park,Bradford,BD12 0NB,Common Road Low Moor,West Yorkshire,,85590,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROFITABLE INVESTMENT EDUCATION LTD,7820391,dissolved,ltd,14-10-2014,24-10-2011,['85590'],,145-157 St John Street,London,EC1V 4PW,,,,85590,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABC OF ME LIMITED,7819549,dissolved,ltd,08-01-2019,21-10-2011,['85590'],,11 Garrick Way,Camberley,GU16 6LY,Frimley Green,Surrey,,85590,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THE LEARNING HOUSE LTD,7825390,dissolved,ltd,14-05-2019,27-10-2011,['85590'],,19 Doods Park Road,Reigate,RH2 0PZ,,,,85590,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KPI CONSTRUCTION SKILLS LTD,7827324,dissolved,ltd,15-11-2016,28-10-2011,['85590'],,8 Waterside Park Livingstone Road,Hull,HU13 0EN,Hessle,East Yorkshire,,85590,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OVERWATCH TRAINING LTD,7829241,dissolved,ltd,24-05-2016,31-10-2011,['85590'],,1 Princes Court,Loughborough,LE11 5XR,Royal Way,Leicestershire,,85590,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRAINING DAYS LIMITED,7831100,dissolved,ltd,26-04-2016,01-11-2011,['85590'],,1 - 5 Nelson Street,Southend On Sea,SS1 1EF,,Essex,,85590,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FUSION CHILDCARE SERVICES,7830535,active,private-limited-guarant-nsc-limited-exemption,,01-11-2011,['85590'],,45 Cranbourne Drive,Harpenden,AL5 1RJ,,Hertfordshire,,85590,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BROOKS DEVELOPMENT TRUST,7831365,dissolved,private-limited-guarant-nsc-limited-exemption,03-08-2021,01-11-2011,['85590'],,21 Kyrle Road,London,SW11 6BD,,,,85590,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WINGED SOLUTIONS LTD,7832539,dissolved,ltd,17-01-2017,02-11-2011,['85590'],,121 Latham Road,Bexleyheath,DA6 7NH,,Kent,,85590,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHERRY TREE KIDS CLUB LTD,7833193,dissolved,ltd,11-06-2019,03-11-2011,['85590'],,46a Barnes Cray Road,Dartford,DA1 4NR,,,,85590,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEACON HILL TRAINING LIMITED,7836258,dissolved,ltd,06-07-2021,04-11-2011,"['85590', ' 88990']",,73 The Willows Marton,Middlesbrough,TS7 8BP,,Cleveland,United Kingdom,85590,88990,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACADEMY 4 HOUSING,7837202,dissolved,private-limited-guarant-nsc-limited-exemption,04-10-2016,07-11-2011,['85590'],,Premier House,Twickenham,TW1 3RP,52 London Road,Middlesex,,85590,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL BARAKAH EDUCATION LTD,7839599,dissolved,ltd,26-04-2022,08-11-2011,['85590'],,27 Woodhall Avenue,Pinner,HA5 3DY,,,England,85590,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CST TUTORING LIMITED,7838981,dissolved,ltd,17-03-2015,08-11-2011,['85590'],,Chandler House 7 Ferry Road Office Park,Preston,PR2 2YH,Riversway,Lancashire,,85590,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSAJ LIMITED,7839338,dissolved,ltd,28-02-2017,08-11-2011,['85590'],,15 Horse Bank Drive,Huddersfield,HD4 5HN,Lockwood,,,85590,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HENBURY SCHOOL,7838126,dissolved,private-limited-guarant-nsc-limited-exemption,20-10-2020,07-11-2011,['85590'],,Henbury School Station Road,Bristol,BS10 7QH,Henbury,Avon,,85590,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WORK AND TRAIN LTD,7838414,dissolved,ltd,16-05-2017,08-11-2011,['85590'],,16 Westmorland Street,Wakefield,WF1 1PJ,,West Yorkshire,,85590,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M I B TRAINING LIMITED,7841617,dissolved,ltd,15-08-2017,10-11-2011,['85590'],,3 Gorrell Close,Burnley,BB12 9LZ,Newchurch-In-Pendle,,England,85590,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDUCATIONAL ENTERPRISES LIMITED,7846946,dissolved,ltd,10-03-2020,14-11-2011,['85590'],,89 Anderton Park Road,Birmingham,B13 9DS,Moseley,,,85590,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PASSION INC. LIMITED,7847607,dissolved,ltd,28-08-2018,15-11-2011,['85590'],,Flat 7 Crescent House,Margate,CT9 2NP,Nightingale Place,Kent,,85590,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FIELDCRAFT LTD,7852558,dissolved,ltd,16-03-2021,18-11-2011,['85590'],,106 Minehead Way,Stevenage,SG1 2JH,,,England,85590,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACHIEVE CHANGE & ENGAGEMENT ACE,7848785,converted-closed,converted-or-closed,12-05-2021,15-11-2011,['85590'],,18 Sun Street,Lancaster,LA1 1EW,,Lancashire,England,85590,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VOCATIONAL AND PROFESSIONAL QUALIFICATIONS LIMITED,7850894,dissolved,ltd,17-01-2017,17-11-2011,['85590'],,Office-8 10-Buckhurst Road,Bexhill-On-Sea,TN40 1QF,,East Sussex,,85590,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.A.S.S (PERSONAL ACHIEVEMENT SOCIAL SUCCESS) COMMUNITY INTEREST COMPANY,7854796,dissolved,private-limited-guarant-nsc,04-02-2020,21-11-2011,['85590'],community-interest-company,"18, Spencer Avenue",Hayes,UB4 0QX,,Middlesex,,85590,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROWE FARM LIMITED,7848616,active,ltd,,15-11-2011,['46330'],,The Rowe Farm,Newcastle Under Lyme,ST5 4EN,Stableford,Staffordshire,,46330,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NATIONWIDE DISPOSABLES LIMITED,7804655,dissolved,ltd,15-03-2022,11-10-2011,['46420'],,1 Upper Aston,Wolverhampton,WV5 7EE,Claverley,,England,46420,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S & A CASUAL LTD,7805762,dissolved,ltd,02-01-2018,11-10-2011,['46420'],,15 Collingham Street,Manchester,M8 8RQ,,,,46420,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COPIA DESIGN UK LTD,7806643,dissolved,ltd,28-08-2018,12-10-2011,['46420'],,105 Whitechapel Road,London,E1 1DT,,,,46420,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHANGE FASHION LTD,7808426,dissolved,ltd,23-03-2021,13-10-2011,['46420'],,17 Skylines Village Top Tie Trading Uk Ltd,London,E14 9TS,17 Skylines Village,,United Kingdom,46420,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHIC UNIQUE LIMITED,7813995,dissolved,ltd,23-05-2017,18-10-2011,['46420'],,113 Bracadale Drive,Stockport,SK3 8RY,,,,46420,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STEPFOLA INVESTMENT LTD,7812715,dissolved,ltd,27-03-2018,17-10-2011,['46420'],,Eurolink Business Centre Unit 50,London,SW2 1BZ,49 Effra Road,,,46420,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STANDARD ISSUE LIMITED,7818395,dissolved,ltd,17-02-2015,20-10-2011,['46420'],,1st Floor Northern Assurance Buildings,Manchester,M2 4DN,9 - 21 Princess Street Albert Square,Lancs,,46420,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAS BODY DEVELOPMENT LIMITED,7819505,active,ltd,,21-10-2011,['46420'],,"Beaumont Accountancy First Floor, Enterprise House",Middlesbrough,TS1 3QW,202-206 Linthorpe Road,Cleveland,England,46420,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E-WEAR LTD,7825781,dissolved,ltd,15-03-2022,27-10-2011,"['46420', ' 70229']",,Acre House,London,NW1 3ER,11/15 William Road,,United Kingdom,46420,70229,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FOAY INVESTMENT LTD,7829270,dissolved,ltd,07-03-2017,31-10-2011,['46420'],,54 Melbourne Court,London,SE20 8AS,Anerley Road,,,46420,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KIDSORCHID LIMITED,7829579,dissolved,ltd,25-04-2017,31-10-2011,['46420'],,355a Barking Road,London,E6 1LA,East Ham,,,46420,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRI T SCRUB LIMITED,7854506,dissolved,ltd,04-12-2018,21-11-2011,['46420'],,Ground Floor 2 Woodberry Grove,London,N12 0DR,North Finchley,,,46420,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
